review_text,rating,date
very useful appp,5,2022-09-14 10:46:17
xupop,1,2022-09-10 14:38:48
best,5,2022-09-07 14:49:33
धेरै राम्रो,5,2022-09-07 14:03:27
Easy to use but not popular like esewa and khalti,5,2022-09-07 12:22:07
Will moru add Kathmandu Upatyaka khanepani payment in its app? As esewa and khalti has already added this payment option.,4,2022-09-06 19:28:07
Not all Banks are part of the MORU System. Sunrise and SBI Bank chaina in the system. Until then 1 star.,1,2022-09-05 17:54:57
Very good,5,2022-09-02 03:25:49
"Moru apps is very , good profomus,, And good system too",5,2022-08-30 12:15:10
nice app,5,2022-08-16 00:06:54
great,5,2022-08-14 17:24:48
How can i change my mobile number ?,4,2022-08-11 18:40:51
Bank transfer is not full free .when totly free bank transfer iwill download,2,2022-08-09 20:28:29
Low service internet connection low not good application please not use application,1,2022-08-09 19:55:35
"Very poor service ,no response many time, transfer fall due to there server down amt deduct in a/c but amt didn't transfer and many more problem",1,2022-08-07 16:40:42
good app use for it,4,2022-08-07 06:45:34
banking transfer system QR code Bata hune banaunu paro sir Aru tw thikai x,4,2022-08-06 07:53:56
"Easy to use and fast service. Wow! In my experience, it is the best mobile wallet.",5,2022-08-04 21:58:12
My neme is bimal thapa,1,2022-08-01 14:22:12
nice,5,2022-07-31 11:02:01
not working app,1,2022-07-31 10:13:51
Nice wallet apps,5,2022-07-30 08:36:17
ahh,5,2022-07-27 12:42:45
Don't use this . Very bad app. Refer and Earn is not working.,1,2022-07-26 09:56:15
nice app,5,2022-07-24 18:56:31
best,5,2022-07-08 13:29:53
"I can't login to my account . Tried it so many times , used my another phone (oneplus nord) to check whether there was fault on my previous phone .",1,2022-06-28 11:04:03
Good service,4,2022-06-22 20:37:42
good,4,2022-06-19 18:18:50
not good actually i install it for to pay my electricity bill but its not working,5,2022-06-15 14:57:01
Bank transfer charge,1,2022-06-10 15:02:45
𝑃𝑟𝑜𝑏𝑙𝑒𝑚.𝑏𝑎𝑙𝑎𝑛𝑐𝑒 𝑡𝑟𝑎𝑛𝑠𝑓𝑒𝑟 𝑠𝑙𝑜𝑣𝑒 𝑓𝑎𝑠𝑡,2,2022-06-09 10:20:30
राम्रो लाग्यो ।,5,2022-06-07 10:22:46
Please add more banks to link account.i am new to this app.,5,2022-06-06 23:55:23
good,4,2022-05-30 18:07:49
very good,5,2022-05-30 13:37:05
Nice,3,2022-05-28 17:26:15
Good digital wallet Need more improvement Add different % on payment,4,2022-05-26 12:49:53
best apps,2,2022-05-20 13:03:05
need to develop more thinks we need to make easy way to lod money from any bank from al online m banking,5,2022-05-11 12:16:59
This apps totally fake,1,2022-05-05 21:10:53
very nice,5,2022-05-02 07:46:28
Why I am not recieving money even I have referred 2 friends using my code.I tried so much but I cant even recieve money.plz reply,1,2022-04-30 12:39:30
very good,5,2022-04-21 21:10:52
super,5,2022-04-21 09:10:14
nice Wallet,5,2022-04-19 06:37:30
Nice,4,2022-04-18 11:40:55
This is useless app . It scams people in the name of offer . I suggest not to do any transaction through this app.,1,2022-04-15 21:17:16
20% cashback dekhayera 3% matra dinxa,1,2022-04-15 11:08:12
Khatra,5,2022-04-09 18:59:49
good,3,2022-04-06 21:33:12
Good 👍,5,2022-04-05 22:38:16
nice,5,2022-04-04 21:46:21
nice,5,2022-04-03 08:30:11
Love it,4,2022-04-01 08:16:33
nice one,4,2022-03-31 08:37:19
thanks for wonderful moru app..,5,2022-03-30 23:04:00
using this for more than 8 months its very best and cashback is awesome than esewa. and imepay and others,5,2022-03-28 21:04:46
very good app,5,2022-03-28 08:47:47
nice,5,2022-03-26 08:52:58
is good service,2,2022-03-24 14:15:17
U are not providing features and services as of competitions.,1,2022-03-23 17:34:10
i am intrest,5,2022-03-22 13:51:55
No world Wild,1,2022-03-21 11:42:17
Nice app,5,2022-03-16 22:39:56
good app,5,2022-03-16 07:51:35
good app 👍,5,2022-03-10 20:12:35
Excellent,5,2022-03-07 11:40:07
Sir i have used this app before also i was earning good cash by refering to my friends but when i download it today again and refer to my friend only 5 rs has given by referal it is so less amount so we need litlle more like rs 15 per referal .before this moru app has given 12 per referal but now refeal amout is less so we need abit high amout of referal amount,1,2022-03-05 19:49:58
Worst app the refer and earn isn't working well....,1,2022-03-03 23:47:13
अरुले २% दिन्छ यसले त ३% दिन्छ अजै Bank transfer गर्दा अरुले पैसा काट्छ यसले त उल्टो cashback दिन्छ अरु भन्दा त यहीँ राम्रो लाग्यो मलाई त ।,5,2022-03-02 06:39:36
great,5,2022-02-28 17:27:15
Rupa baniya,1,2022-02-27 21:17:07
Good app,5,2022-02-25 15:08:26
"Transcation is fast, no issue like other app. Great offers too. Best wallet in Nepal",5,2022-02-24 20:03:39
"Bank transactions were free before. Now, they started charging which leaves it no advantage over other apps. sorry Moru, we are dhewa moru..😌",3,2022-02-22 16:26:38
Ebanking deposit gareko paisa load hunna,1,2022-02-22 11:08:15
good app,4,2022-02-22 07:21:22
I refer my friend then moru didn`t give me bonous fake app worst app,1,2022-02-21 09:05:28
Dear sir/maa'm. How can we change referall code in our old account ?,4,2022-02-20 21:06:18
Best digital wallet in Nepal. Switch to moru,5,2022-02-20 20:12:32
Good,5,2022-02-20 13:04:49
very good.,5,2022-02-20 10:41:50
Best digital wallet in nepal,5,2022-02-18 18:47:01
Should have added dark mode Option soon.,3,2022-02-17 19:50:08
great app,5,2022-02-17 08:13:11
Yasma refercode kaha bata aauxa kasari garne hoo,5,2022-02-14 21:04:11
It didn't give 40 rs for referral as shown in poster,1,2022-02-12 18:11:29
Bakwas app now working properly . I tried to sign-up but it's took almost more than 5 minutes but still not created my account fix it's,1,2022-02-12 15:07:29
Worst app I didn't get free recharge that ADs was scam,1,2022-02-10 20:48:54
Very very fake advertising no bonus no cash back.,1,2022-02-07 18:17:20
its nice,4,2022-02-06 12:15:35
If there was fingerprint then it's eassy to do transaction and always show sensor expires.... Plz fix it,5,2022-02-05 08:58:56
Yamuna adhikari,5,2022-02-02 17:02:06
This app is good but no option webserfer net recharge,1,2022-02-01 15:39:48
I have never reviewed any other wallet but Moru is different with its clean UI.,5,2022-01-31 19:30:02
nice,5,2022-01-28 18:08:33
Nice than others,5,2022-01-28 16:51:37
Perfect,4,2022-01-28 12:43:42
This app feels amazing to use.,5,2022-01-28 09:10:20
Kyc is not veryfy plz help me and I give full star,2,2022-01-23 20:42:13
I like it,5,2022-01-19 15:19:55
nice app,5,2022-01-18 18:36:34
Very good app,5,2022-01-18 16:34:27
Free bank transfer really good 🙂🙂😉,5,2022-01-12 17:26:31
best,5,2022-01-10 18:10:32
good working,5,2022-01-10 10:57:10
very nice,5,2022-01-08 20:11:35
best,5,2022-01-08 10:26:50
good,5,2022-01-07 22:07:25
good option,1,2022-01-04 07:15:29
not income balance 😏😏,5,2022-01-02 11:13:42
Is this a earning app Or Can we earn from this app,5,2022-01-02 09:59:07
This app very nice app,5,2022-01-01 21:00:34
Just love this aap,5,2022-01-01 07:44:23
No good offer at all,2,2021-12-31 23:46:30
Good app,4,2021-12-31 17:37:59
This app is not trustworthy. Using esewa gives great experience,1,2021-12-31 12:47:34
Very good app,5,2021-12-30 20:10:22
good,1,2021-12-30 20:02:01
More reward should be given to the moru user,5,2021-12-30 18:23:09
wow apps,5,2021-12-27 07:15:02
good,5,2021-12-26 17:02:45
Good app,1,2021-12-26 12:45:18
Pls bring feature of offline recharge like khalti,5,2021-12-24 13:18:31
welcome,5,2021-12-23 10:06:09
it is easy to use and benefits you.,5,2021-12-22 10:59:35
loved,1,2021-12-22 08:30:06
Please add fingerprint option and other utilities service till now it is okay.,5,2021-12-21 17:21:55
very good,5,2021-12-21 11:54:42
super app,5,2021-12-21 11:36:40
wow,5,2021-12-16 22:07:44
Mahendra Budhathoki,5,2021-12-16 16:49:36
daami,4,2021-12-16 11:31:03
Lets expirment,5,2021-12-16 11:16:23
"Moru Digital Wallet कहाँ छौ तिमी? न landline, न support न Viber, न WhatsApp ???",1,2021-12-16 10:56:37
This is fantastic and reliable app. I like this app..,5,2021-12-15 22:10:04
world best app moru app good % off all on line bills pay,5,2021-12-15 02:29:00
Add favourite account save option,4,2021-12-14 12:30:21
good platform,1,2021-12-13 20:52:46
ok,4,2021-12-11 19:13:09
Randdi ko xora,1,2021-12-11 16:17:13
nice app,1,2021-12-10 18:43:43
Awesome,5,2021-12-09 14:03:58
Nice,4,2021-12-09 13:57:18
i dont have any,5,2021-12-08 15:12:27
This apps is best over nepal,5,2021-12-08 11:09:52
Waw I'm very happy and rea,5,2021-12-07 15:49:59
Nice,5,2021-12-07 12:44:48
My reward is not given by this aap... And no any response by company after complain aswell.,2,2021-12-06 19:41:25
very good,5,2021-12-05 16:48:13
Best,1,2021-12-04 20:07:30
good,5,2021-11-30 18:46:09
good,2,2021-11-30 06:38:47
ok,2,2021-11-28 17:38:58
useful,3,2021-11-28 10:17:04
Op,5,2021-11-27 09:26:58
Good,5,2021-11-26 06:03:52
fake,1,2021-11-25 19:59:08
Account deactivate option in not available. User cannot change their full name.,1,2021-11-25 12:02:06
Good,4,2021-11-24 21:12:59
Perfect. The app is very easy to handle and the wallet is best app in nepal ever. I wish @moru all the best.👍👍👍,5,2021-11-24 12:22:55
यो एप धेरै राम्रो लाग्यो मलाई म यो एप लाइ सुरु देखि नै प्रयोग गर्दै आइ रहेको छु तर यसमा अझै धेरै सुबिधा हरु ल्याउन जरुरी छ क्यास ब्याक पनि धेरै राम्रो दिएको छ अरु एप को तुलनामा र यो एप्लिकेसन लाइ ओफ लाइमा चलाउन को लागि बनाउन जरुरि छ धेरै कुरा हरु सुधार गर्नु पर्ने देखिन्छ उसरि त एकदमै राम्रो एप लाग्यो मलाई शुभकामना छ यसरि नै अगाडी पुगोस्,5,2021-11-23 20:49:45
Overall Good app in competitive market. Moru needs to add more features to attract people to use.,4,2021-11-22 18:49:12
Service is medium but design is very poor,2,2021-11-22 02:14:14
Best earnings sites,5,2021-11-21 15:39:49
simu,2,2021-11-21 05:31:58
very good,5,2021-11-18 07:12:39
Waste of time using this app..I sent email to delete my account on 26 October and till no any reply from the moru team..I called then twice to delete the account so that I will open moru account from another number..therefore I planned not to use this app anymore if there is zero response from the team..,1,2021-11-16 09:20:10
nice,5,2021-11-14 21:59:53
While sharing now One can only get Rs. 6.. It's too low than before.,3,2021-11-14 07:07:56
Serval times i tried to verify KYC. I Completed filling all the requirement but i didn't got any response nither KYC Was verified. I tried this through my and my parents account but the result was same😑,3,2021-11-13 08:06:48
App is auto back,3,2021-11-13 07:58:25
"Better facilities than other wallets, keep it up",5,2021-11-10 12:01:49
I like this digital wallet rather than other wallet,5,2021-11-06 12:15:54
Very good app.,5,2021-11-05 13:06:22
This is fraud app totally scam,1,2021-11-05 09:02:57
This app is excellent and free bank transfer is unique feature but sometimes i face problem on load fund from mbank. Sometime amount debited by bank but not fund loaded in moru,4,2021-11-03 16:08:27
I like all features but limit should be at least minimum 10000 per transaction.,4,2021-11-03 00:47:06
It's nice,5,2021-11-02 16:36:58
Almost bank are added nice but in remittance field we have to fill district and agent not good so make national and international for best and one code can work one country not distict?,3,2021-11-02 14:18:41
It's good app but I don't know more about it. For knowing more about it what I have to do.......?,5,2021-11-02 11:59:45
very nice aap,5,2021-11-01 14:58:21
nice aapps,5,2021-11-01 13:53:41
Np good,1,2021-11-01 09:56:33
not good,1,2021-11-01 09:22:41
Very useful app,5,2021-11-01 09:21:55
Bad no work,1,2021-11-01 09:09:52
Best,5,2021-11-01 08:54:51
Refer Garda paisa nai didaina ta k vako?,1,2021-10-29 19:25:23
it's good app and I'm satisfied used this app.,5,2021-10-28 06:19:47
nice,5,2021-10-27 21:26:56
"Best digital wallet of Nepal,",5,2021-10-27 11:24:22
Awesome app !!!,5,2021-10-26 10:33:26
Very good app keep it up,5,2021-10-25 22:57:24
it's very important to us .moru earn money quickly,5,2021-10-24 19:58:39
good,5,2021-10-22 16:01:15
Good,5,2021-10-21 20:38:32
i like this apps good luck,5,2021-10-21 18:44:48
This wallet is best and please keep in some earnings method,5,2021-10-20 19:19:16
You need add manju Shree finance bank also for load money. Everything good please add it .,1,2021-10-20 14:16:35
this is very useful app,5,2021-10-20 12:14:45
Best experience,4,2021-10-20 08:16:24
Abc,5,2021-10-19 20:48:16
"Awesome app, Dami xa tah , With free charge , Just love it ❤️❤️❤️❤️❤️❤️❤️",5,2021-10-19 08:27:31
worst,1,2021-10-17 18:26:25
Great app,5,2021-10-13 20:47:06
I just sent money from another device but the money isn't coming to my device,1,2021-10-13 20:23:55
Problem vaneko 2/3 din vaisakda pani solve garne atto patto hidaina call garda hudaixa vanney Whatsapp maa reply nagarne🥺🥺,1,2021-10-13 06:50:43
This is just great wallet but i think moru should change background colour put something light colour i give you guys full 5 🌟🤩,5,2021-10-12 14:32:29
Best app,5,2021-10-12 12:26:03
Good,5,2021-10-12 09:49:45
stil room for many improvement,3,2021-10-11 15:10:21
